Question,Intent,Response
Minimum attendance?,Attendance,Students are required to maintain at least 75% attendance.
How to check attendance?,Attendance,Students are required to maintain at least 75% attendance.
Attendance shortage?,Attendance,Students are required to maintain at least 75% attendance.
Attendance portal?,Attendance,Students are required to maintain at least 75% attendance.
Can attendance be condoned?,Attendance,Students are required to maintain at least 75% attendance.
Placement eligibility?,Placement,The placement cell regularly conducts training and recruitment drives.
Companies visiting campus?,Placement,The placement cell regularly conducts training and recruitment drives.
Resume format?,Placement,The placement cell regularly conducts training and recruitment drives.
Interview preparation?,Placement,The placement cell regularly conducts training and recruitment drives.
Placement training?,Placement,The placement cell regularly conducts training and recruitment drives.
Highest package?,Placement,The placement cell regularly conducts training and recruitment drives.
Internship opportunities?,Placement,The placement cell regularly conducts training and recruitment drives.
Class timetable?,Timetable,You can download the latest timetable from the student portal.
Today's schedule?,Timetable,You can download the latest timetable from the student portal.
Where is timetable?,Timetable,You can download the latest timetable from the student portal.
Updated timetable?,Timetable,You can download the latest timetable from the student portal.
Lab timetable?,Timetable,You can download the latest timetable from the student portal.
Holiday list?,Timetable,You can download the latest timetable from the student portal.
When will results be announced?,Results,Results are published on the official student portal.
How to check results?,Results,Results are published on the official student portal.
Result portal?,Results,Results are published on the official student portal.
Revaluation process?,Results,Results are published on the official student portal.
Marksheet download?,Results,Results are published on the official student portal.
Backlog result?,Results,Results are published on the official student portal.
Available courses?,Courses,Our college offers undergraduate and postgraduate programs across multiple disciplines.
BCA course details?,Courses,Our college offers undergraduate and postgraduate programs across multiple disciplines.
MCA duration?,Courses,Our college offers undergraduate and postgraduate programs across multiple disciplines.
Engineering branches?,Courses,Our college offers undergraduate and postgraduate programs across multiple disciplines.
Course syllabus?,Courses,Our college offers undergraduate and postgraduate programs across multiple disciplines.
Elective subjects?,Courses,Our college offers undergraduate and postgraduate programs across multiple disciplines.
Who is my class teacher?,Faculty,Faculty details are available on the college website.
Faculty contact?,Faculty,Faculty details are available on the college website.
Department HOD?,Faculty,Faculty details are available on the college website.
Office timings of faculty?,Faculty,Faculty details are available on the college website.
Mentor details?,Faculty,Faculty details are available on the college website.
College contact number?,Contact,You can contact the helpdesk at support@college.edu or visit the administration office.
Support email?,Contact,You can contact the helpdesk at support@college.edu or visit the administration office.
Office location?,Contact,You can contact the helpdesk at support@college.edu or visit the administration office.
Helpdesk timing?,Contact,You can contact the helpdesk at support@college.edu or visit the administration office.
Whom should I contact?,Contact,You can contact the helpdesk at support@college.edu or visit the administration office.
Administration office?,Contact,You can contact the helpdesk at support@college.edu or visit the administration office.
Hey please,Greeting,Hello! Welcome to Student Support Services. How can I help you today?
Thanks bye please,Goodbye,Thank you for contacting Student Support. Have a great day!
